brand, product_name, shipping
Corsair,Corsair Crystal Series 570X RGB CC-9011098-WW Steel / Tempered Glass ATX Mid Tower Case,Free Shipping
Cooler Master,Cooler Master MasterBox MB600L ATX Mid-Tower w/ Sleek Brushed Design| Red Side Trim| & Acrylic Side Panel,$6.99 Shipping
Rosewill,Rosewill PRISM M ATX Mid Tower Gaming PC Computer Case w/ RGB Fan| 10 Backlit Modes| LED Light Strip Patterned Front Panel| 240mm AIO Support| EATX Support| Bottom Mount PSU & HDD/SSD| Tempered Glass,Free Shipping
DIYPC,DIYPC Rainbow-Flash-G3 Black USB3.0 Steel/ Tempered Glass ATX Mid Tower Gaming Computer Case w/Tempered Glass Panel and Addressable ARGB LED Strip,Free Shipping
NZXT,NZXT H510 - Compact ATX Mid-Tower PC Gaming Case - Front I/O USB Type-C Port - Tempered Glass Side Panel - Cable Management System - Water-Cooling Ready - Steel Construction - White/Black,$7.99 Shipping
Phanteks Company,Phanteks Eclipse P360X Compact E-ATX Mid-Tower Case| Tempered Glass| Digital-RGB Lighting| Black,$6.99 Shipping
Fractal Design,Fractal Design Meshify C White - TG FD-CA-MESH-C-WT-TGC White High-Airflow Compact Clear Tempered Glass Computer Case,$9.99 Shipping
DIYPC,DIYPC S2-BK-RGB Black USB3.0 Steel/ Tempered Glass ATX Mid Tower Gaming Computer Case w/Tempered Glass Panel and Addressable RGB LED Strip,Free Shipping
Thermaltake,Thermaltake Core P3 TG Black ATX Open Frame Panoramic Viewing Tt LCS Certified Gaming Computer Case CA-1G4-00M1WN-06,$3.99 Shipping
Corsair,Corsair Carbide Series SPEC-05 CC-9011138-WW Black Gaming Case,$2.99 Shipping
Cooler Master,Cooler Master Silencio S600 ATX Mid-Tower w/ Sound-Dampening Material| Sound-Dampened Steel Side Panel| Reversible Front Panel| SD Card Reader| and 2x 120mm PWM Silencio FP Fans,$6.99 Shipping
Thermaltake,Thermaltake H200 Tempered Glass RGB Light Strip ATX Mid Tower Case with One 120mm Rear Fan Pre-Installed - CA-1M3-00M1WN-00,$1.99 Shipping
DEEPCOOL,DEEPCOOL MATREXX 70 Mid-Tower Case Modular Design Full-size Tempered Glass GPU Vertical Installation Quick Open Panels,$2.99 Shipping
NZXT,NZXT H510 - Compact ATX Mid-Tower PC Gaming Case - Front I/O USB Type-C Port - Tempered Glass Side Panel - Cable Management System - Water-Cooling Ready - Steel Construction - Black,$7.99 Shipping
DIYPC,DIYPC DIY-A1-W White Tempered Glass USB 3.0 ATX Mid Tower Computer Case with 1 x 120mm White Fan x Rear Pre-installed,$7.99 Shipping
